iter	Passed	Remaining
410	4956	7103
411	4968	7090
412	4978	7076
413	4990	7063
414	5001	7049
415	5013	7037
416	5024	7024
417	5036	7011
418	5047	6999
419	5059	6986
420	5071	6974
421	5082	6961
422	5093	6948
423	5105	6935
424	5116	6922
425	5127	6908
426	5141	6899
427	5152	6886
428	5164	6873
429	5176	6861
430	5187	6848
431	5199	6836
432	5211	6824
433	5223	6812
434	5235	6800
435	5248	6788
436	5258	6775
437	5270	6762
438	5281	6749
439	5292	6735
440	5303	6722
441	5314	6709
442	5326	6697
443	5338	6684
444	5349	6672
445	5360	6658
446	5371	6645
447	5384	6634
448	5397	6623
449	5408	6610
450	5420	6598
451	5434	6588
452	5445	6575
453	5459	6565
454	5472	6554
455	5484	6543
456	5496	6531
457	5509	6519
458	5521	6508
459	5534	6496
460	5547	6486
461	5559	6473
462	5571	6461
463	5582	6448
464	5594	6436
465	5605	6423
466	5618	6412
467	5633	6403
468	5646	6393
469	5660	6382
470	5675	6374
471	5689	6364
472	5703	6354
473	5718	6346
474	5731	6335
475	5746	6326
476	5761	6316
477	5776	6308
478	5789	6297
479	5804	6287
480	5820	6280
481	5834	6270
482	5848	6259
483	5864	6252
484	5879	6242
485	5893	6232
486	5905	6221
487	5920	6211
488	5934	6201
489	5947	6190
490	5962	6181
491	5977	6172
492	5990	6160
493	6006	6152
494	6020	6142
495	6035	6132
496	6049	6122
497	6062	6111
498	6077	6102
499	6091	6091
500	6104	6080
501	6117	6068
502	6130	6057
503	6144	6046
504	6155	6033
505	6168	6022
506	6182	6011
507	6196	6001
508	6209	5989
509	6222	5978
510	6235	5967
511	6249	5956
512	6263	5945
513	6277	5935
514	6289	5923
515	6303	5912
516	6317	5901
517	6331	5891
518	6344	5879
519	6358	5869
520	6371	5857
521	6384	5846
522	6398	5835
523	6411	5824
524	6424	5812
525	6436	5800
526	6449	5788
527	6460	5775
528	6472	5763
529	6484	5750
530	6496	5738
531	6508	5725
532	6520	5712
533	6533	5701
534	6547	5690
535	6560	5678
536	6573	5667
537	6588	5657
538	6603	5647
539	6617	5636
540	6631	5626
541	6645	5615
542	6657	5603
543	6672	5593
544	6687	5583
545	6702	5573
546	6715	5561
547	6728	5549
548	6742	5538
549	6755	5527
550	6768	5515
551	6781	5503
552	6795	5492
553	6807	5480
554	6821	5469
555	6834	5457
556	6847	5446
557	6861	5435
558	6873	5422
559	6886	5410
560	6900	5400
561	6913	5388
562	6926	5376
563	6939	5364
564	6950	5351
565	6962	5339
566	6975	5327
567	6988	5315
568	7000	5302
569	7014	5291
570	7027	5279
571	7039	5267
572	7052	5255
573	7065	5243
574	7078	5231
575	7090	5219
576	7103	5207
577	7116	5195
578	7129	5184
579	7143	5172
580	7155	5160
581	7169	5149
582	7180	5136
583	7194	5124
584	7206	5112
585	7219	5100
586	7233	5089
587	7246	5077
588	7258	5065
589	7270	5052
590	7282	5040
591	7294	5027
592	7307	5015
593	7318	5002
594	7330	4989
595	7344	4978
596	7358	4967
597	7373	4956
598	7387	4945
599	7400	4933
600	7413	4921
601	7426	4909
602	7440	4898
603	7455	4887
604	7468	4875
605	7481	4863
606	7493	4851
607	7506	4839
608	7519	4827
609	7532	4815
610	7546	4804
611	7560	4793
612	7576	4783
613	7590	4771
614	7604	4760
615	7617	4748
616	7630	4736
617	7644	4724
618	7656	4712
619	7669	4700
620	7684	4689
621	7699	4678
622	7712	4667
623	7731	4658
624	7752	4651
625	7767	4640
626	7780	4628
627	7796	4618
628	7811	4607
629	7826	4596
630	7841	4585
631	7857	4575
632	7872	4564
633	7889	4554
634	7906	4544
635	7922	4534
636	7937	4523
637	7955	4513
638	7971	4503
639	7986	4492
640	8000	4480
641	8015	4469
642	8032	4459
643	8047	4448
644	8062	4437
645	8076	4426
646	8089	4413
647	8102	4401
648	8116	4389
649	8128	4377
650	8141	4364
651	8154	4352
652	8168	4340
653	8181	4328
654	8195	4316
655	8208	4304
656	8220	4291
657	8235	4280
658	8248	4268
659	8261	4256
660	8277	4245
661	8289	4232
662	8303	4220
663	8314	4207
664	8326	4194
665	8339	4182
666	8352	4170
667	8364	4157
668	8378	4145
669	8392	4133
670	8406	4121
671	8418	4108
672	8431	4096
673	8443	4083
674	8454	4070
675	8467	4058
676	8479	4045
677	8491	4032
678	8504	4020
679	8516	4007
680	8528	3994
681	8541	3982
682	8555	3970
683	8567	3958
684	8580	3945
685	8592	3933
686	8606	3920
687	8617	3908
688	8630	3895
689	8643	3883
690	8654	3869
691	8665	3857
692	8677	3844
693	8689	3831
694	8701	3818
695	8714	3806
696	8726	3793
697	8738	3780
698	8750	3768
699	8763	3755
700	8774	3742
701	8787	3730
702	8799	3717
703	8811	3704
704	8822	3691
705	8833	3678
706	8846	3666
707	8857	3653
708	8870	3640
709	8882	3627
710	8894	3615
711	8909	3603
712	8921	3591
713	8932	3578
714	8944	3565
715	8955	3552
716	8968	3540
717	8983	3528
718	8995	3515
719	9007	3502
720	9020	3490
721	9031	3477
722	9042	3464
723	9054	3451
724	9065	3438
725	9078	3426
726	9090	3413
727	9102	3400
728	9112	3387
729	9128	3376
730	9139	3363
731	9150	3350
732	9163	3337
733	9176	3325
734	9189	3313
735	9201	3300
736	9213	3287
737	9225	3275
738	9237	3262
739	9249	3249
740	9261	3236
741	9272	3224
742	9283	3211
743	9295	3198
744	9309	3186
745	9320	3173
746	9334	3161
747	9346	3148
748	9357	3135
749	9369	3123
750	9382	3110
751	9393	3097
752	9405	3085
753	9417	3072
754	9430	3060
755	9442	3047
756	9454	3034
757	9466	3022
758	9477	3009
759	9489	2996
760	9500	2983
761	9513	2971
762	9526	2959
763	9537	2946
764	9550	2933
765	9562	2921
766	9577	2909
767	9589	2896
768	9602	2884
769	9616	2872
770	9628	2859
771	9641	2847
772	9653	2834
773	9665	2822
774	9679	2810
775	9690	2797
776	9702	2784
777	9714	2772
778	9726	2759
779	9738	2746
780	9752	2734
781	9764	2722
782	9777	2709
783	9789	2697
784	9801	2684
785	9814	2672
786	9825	2659
787	9837	2646
788	9848	2633
789	9860	2621
790	9874	2609
791	9886	2596
792	9898	2583
793	9909	2570
794	9922	2558
795	9934	2546
796	9946	2533
797	9958	2520
798	9969	2507
799	9981	2495
800	9992	2482
801	10003	2469
802	10014	2456
803	10027	2444
804	10039	2431
805	10051	2419
806	10063	2406
807	10075	2394
808	10087	2381
809	10100	2369
810	10112	2356
811	10124	2344
812	10136	2331
813	10147	2318
814	10159	2306
815	10171	2293
816	10183	2280
817	10194	2268
818	10208	2256
819	10221	2243
820	10233	2231
821	10245	2218
822	10258	2206
823	10270	2193
824	10282	2181
825	10294	2168
826	10307	2156
827	10319	2143
828	10332	2131
829	10344	2118
830	10357	2106
831	10369	2093
832	10381	2081
833	10393	2068
834	10405	2056
835	10417	2043
836	10430	2031
837	10442	2018
838	10455	2006
839	10468	1994
840	10480	1981
841	10493	1969
842	10505	1956
843	10518	1944
844	10530	1931
845	10541	1918
846	10554	1906
847	10569	1894
848	10581	1882
849	10596	1869
850	10608	1857
851	10620	1844
852	10633	1832
853	10645	1819
854	10658	1807
855	10670	1795
856	10683	1782
857	10694	1770
858	10707	1757
859	10719	1745
860	10731	1732
861	10744	1720
862	10757	1707
863	10769	1695
864	10781	1682
865	10795	1670
866	10808	1658
867	10820	1645
868	10834	1633
869	10849	1621
870	10861	1608
871	10874	1596
872	10887	1583
873	10900	1571
874	10914	1559
875	10926	1546
876	10941	1534
877	10953	1522
878	10967	1509
879	10982	1497
880	10996	1485
881	11010	1473
882	11024	1460
883	11038	1448
884	11052	1436
885	11065	1423
886	11080	1411
887	11094	1399
888	11109	1387
889	11121	1374
890	11134	1362
891	11148	1349
892	11161	1337
893	11174	1324
894	11186	1312
895	11199	1299
896	11211	1287
897	11223	1274
898	11235	1262
899	11247	1249
900	11259	1237
901	11271	1224
902	11287	1212
903	11300	1200
904	11313	1187
905	11327	1175
906	11340	1162
907	11353	1150
908	11366	1137
909	11381	1125
910	11395	1113
911	11409	1100
912	11424	1088
913	11436	1076
914	11450	1063
915	11462	1051
916	11475	1038
917	11488	1026
918	11501	1013
919	11515	1001
920	11529	988
921	11542	976
922	11555	964
923	11568	951
924	11581	939
925	11594	926
926	11608	914
927	11621	901
928	11632	889
929	11645	876
930	11658	864
931	11670	851
932	11682	838
933	11695	826
934	11709	814
935	11722	801
936	11734	789
937	11748	776
938	11760	763
939	11773	751
940	11787	739
941	11800	726
942	11814	714
943	11828	701
944	11841	689
945	11854	676
946	11867	664
947	11879	651
948	11892	639
949	11904	626
950	11916	614
951	11932	601
952	11945	589
953	11958	576
954	11971	564
955	11984	551
956	11998	539
957	12012	526
958	12024	514
959	12037	501
960	12049	489
961	12062	476
962	12077	464
963	12089	451
964	12100	438
965	12114	426
966	12127	413
967	12139	401
968	12152	388
969	12166	376
970	12178	363
971	12190	351
972	12203	338
973	12215	326
974	12227	313
975	12240	300
976	12253	288
977	12267	275
978	12281	263
979	12295	250
980	12308	238
981	12322	225
982	12337	213
983	12350	200
984	12364	188
985	12379	175
986	12393	163
987	12407	150
988	12419	138
989	12434	125
990	12448	113
991	12461	100
992	12475	87
993	12487	75
994	12500	62
995	12513	50
996	12525	37
997	12539	25
998	12550	12
999	12564	0
